Gene	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	Bcells.var	CAFs.var	CD4_Tcells.var	CD8_Tcells.var	Endothelial.var	Macrophages.var	NKcells.var
A1BG	7.7521	4.4789	4.6702	5.02	0	3.4637	1.7426	30.386	12.668	25.472	31.279	0	17.561	9.7024
A1BG-AS1	0.27272	28.988	6.7471	11.764	0	2.3658	8.9214	1.5388	81.99	42.965	70.794	0	10.802	48.277
A1CF	0.94832	0.03625	0.4978	0.56538	0.2582	0.13695	0.25936	6.3771	0.10253	1.789	2.5738	0.85634	0.28826	0.81202
A2M	0.14435	184.45	2.9531	15.386	1575.2	418.67	8.9411	0.69103	334.88	9.1442	71.059	920.39	578.84	36.747
A2M-AS1	0	0.345	7.342	11.591	8.6042	0.35669	0.21549	0	0.97582	36.022	88.557	28.537	2.4267	1.1998
A2ML1	1.7189	0.1075	1.9288	2.1233	3.2892	0.6667	1.9665	4.8739	0.30404	3.9267	6.0004	7.7601	1.3236	3.7732
A2MP1	0.65511	0	0.98775	0.69157	0	0	3.7325	5.1583	0	8.3629	6.6008	0	0	20.782
A4GALT	7.5809	42.796	0	0.0114	58.459	0	0	42.209	69.128	0	0.27596	110.94	0	0
A4GNT	0	0	2.7766	0.037016	0	1.3448	0	0	0	32.277	0.89606	0	12.178	0
AA06	0	0	0.15315	0.52702	0	0	0	0	0	1.9672	12.758	0	0	0
AAAS	64.367	0	44.795	47.302	0	20.694	70.403	176.08	0	171.03	175.64	0	65.796	196.43
AACS	3.4549	0	6.4176	13.374	0	4.7997	28.605	22.908	0	39.653	73.142	0	26.701	104.42
AACSP1	0.45013	0.052499	0.54454	0.44389	1.3073	0.10976	0.55809	2.2165	0.14849	2.6675	2.0562	4.3359	0.43529	3.1073
AADAC	0	159.13	0	0.1379	0	0	0	0	380.65	0	2.5712	0	0	0
AADACL2	0.1174	0	0	0.1216	0	0	0	0.92443	0	0	1.951	0	0	0
AADACL3	0.088544	0	0.20478	0.095909	0	0.064757	0	0.41873	0	1.8284	0.69086	0	0.39002	0
AADACL4	0	0	0.13448	0.024531	0	0	0	0	0	1.7275	0.48978	0	0	0
AADAT	0.022741	0.14875	0.40242	0.20511	0	2.7942	0.09226	0.17906	0.42072	1.6109	1.3721	0	24.583	0.51368
AAED1	0	0.26875	0.41493	6.1181	0	0.020488	5.4111	0	0.76014	5.3298	64.518	0	0.18553	30.128
AAGAB	19.329	37.451	38.714	40.709	20.409	14.718	27.87	84.458	74.818	122.71	142.43	31.66	57.258	119.1
AAK1	3.8891	4.05	23.014	17.165	12.469	7.1348	24.5	3.3411	3.7952	27.178	26.379	21.72	11.849	41.466
AAMDC	12.573	167.4	16.896	7.6632	122.68	51.128	1.741	76.876	190.9	107.93	68.332	198.83	160.85	9.6936
AAMP	93.608	261.87	81.762	117.76	102.58	88.224	160.23	226.41	489.04	221.15	256.64	131.8	149.78	362.91
AANAT	0.10661	0	0.62656	0.46782	0	0.46207	0.034193	0.83947	0	5.7169	5.1574	0	2.6445	0.19038
AAR2	42.235	103.01	44.724	48.527	26.075	29.311	80.898	133.64	211.32	163.05	171.31	50.972	72.799	235.88
AARD	7.1188	2.5625	8.5646	7.5664	2.4137	4.2732	6.4746	12.037	5.4902	18.132	19.987	6.1528	6.0423	11.698
AARS	47.345	35.253	27.724	43.079	62.991	44.788	18.569	141.15	52.584	121.27	137.71	92.982	166.52	94.483
AARS2	16.585	18.219	19.674	29.68	8.4601	12.572	36.993	35.457	37.472	62.359	77.573	11.458	48.103	105.01
AARSD1	28.615	54.607	45.224	38.69	33.014	35.625	0.55388	113.67	123.15	192.73	167.18	58.093	144.82	3.0839
AASDH	5.5106	4.3711	7.094	14.987	2.7392	7.1915	8.2941	19.439	9.7364	30.214	80.663	6.3109	30.852	28.48
AASDHPPT	27.447	15.63	22.463	51.695	9.0629	18.449	27.5	79.052	29.621	86.925	171.42	17.956	42.348	84.683
AASS	7.3424	24.188	2.404	6.8241	32.964	2.625	16.72	28.862	23.164	4.5365	19.39	45	6.4082	76.911
AATF	79.171	45.423	88.392	111.62	73.094	37.116	119.56	212.46	50.648	226.86	262.22	136.05	82.988	305.87
AATK	0	0	0.86459	0.22184	0	2.8641	0	0	0	10.892	3.1215	0	12.717	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	17.068	0	2.7931	5.9008	1.0274	3.671	15.663	116.05	0	16.532	29.239	3.4073	13.315	87.211
ABCA1	17.609	8.2199	2.5414	0.50451	1.0291	97.915	7.4278	86.28	10.932	20.921	6.5525	3.413	141.14	36.964
ABCA10	0.35047	3.4511	0.013394	0.13313	0	0.21257	0.1342	2.1471	6.3363	0.17204	1.3952	0	1.9249	0.74718
ABCA11P	6.6465	4.5375	6.737	10.174	6.6538	3.0837	8.6172	21.447	11.096	31.433	57.965	15.019	12.766	20.974
ABCA12	0	0	0.17473	0.074589	0	0.0031708	0.23969	0	0	1.3119	0.61032	0	0.028713	1.0562
ABCA13	0.35143	0.19001	0.40457	0.46394	0.60456	0.18902	0.92132	0.63696	0.53742	0.7315	0.88268	1.6071	0.46715	1.3036
ABCA17P	0	0	0.064786	0.26318	0	0	0	0	0	0.8322	2.8231	0	0	0
ABCA2	0.044837	10.191	14.854	24.101	1.7364	1.9421	7.744	0.35305	16.328	54.57	66.472	3.9273	11.853	16.958
ABCA3	1.1009	0.30749	0.59315	1.0986	0.031818	0.15122	0	8.2752	0.86972	5.1491	9.6671	0.10553	1.3693	0
ABCA4	0	1.03	0.07188	0.054615	0	0	0.12581	0	2.9133	0.92331	0.58713	0	0	0.70047
ABCA5	10.79	0	8.7718	8.3532	0.64818	1.5803	15.219	47.701	0	40.019	34.513	1.2454	6.8158	43.048
ABCA6	16.05	26.989	0.0069092	0.026823	0.52	6.1547	0.82132	55.866	36.861	0.08875	0.39011	1.7247	25.72	4.5729
ABCA7	11.517	0.04	12.51	17.629	1.6091	3.6932	28.132	52.192	0.11314	44.066	58.227	5.3369	14.721	102.16
ABCA8	0	78.692	0.09861	0.047158	0	0.053536	0	0	130.39	1.1872	0.80215	0	0.36758	0
ABCA9	8.1119	10.416	8.9721	9.9655	10.088	2.6131	8.5306	8.0182	17.186	17.607	11.725	13.214	2.6105	9.0092
ABCB1	18.805	0.1575	7.8986	37.218	27.665	0	60.916	96.65	0.44548	52.584	129.93	62.376	0	126.45
ABCB10	4.1547	19.268	4.4158	12.577	2.3346	2.0761	14.966	17.535	33.989	25.047	69.099	7.743	10.397	79.685
ABCB11	0	0	0.10466	0.040626	0	0.035244	0	0	0	1.1952	0.76834	0	0.31915	0
ABCB4	17.687	0	0.40239	0.036421	11.462	4.3864	0	66.391	0	5.0631	0.67826	38.016	24.509	0
ABCB5	5.3216	1.7038	8.7889	18.394	1.2991	6.16	5.7034	8.3558	2.2458	14.154	71.33	2.6798	16.574	8.7403
ABCB6	1.1849	34.845	5.8764	5.318	38.754	6.2892	8.9102	8.5138	98.556	50.875	41.457	79.811	42.481	49.61
ABCB7	20.475	15.144	9.6796	21.812	3.6819	8.9558	68.414	87.566	32.881	38.982	95.011	12.211	37.343	223.02
ABCB8	4.2796	33.503	2.853	8.7361	9.1601	8.267	0.65775	16.648	58.056	19.819	41.428	20.671	24.587	3.6622
ABCB9	0	0	2.6758	1.444	19.573	0.13512	0	0	0	23.109	16.287	64.917	1.1615	0
ABCC1	7.3807	2.6274	16.597	16.268	18.694	6.3941	10.751	28.255	4.2185	53.783	50.404	49.818	24.379	29.37
ABCC10	22.032	20.996	29.572	27.866	8.3373	3.7357	17.838	106.73	40.267	90.247	94.657	19.045	17.673	76.004
ABCC11	0.041448	0	0	0.045056	0	0.072071	0	0.32637	0	0	0.57666	0	0.65263	0
ABCC12	0	0	0.10224	0.15321	0	0	0	0	0	1.3133	2.1391	0	0	0
ABCC13	1.5082	0.46624	1.6832	1.7194	2.8291	0.70902	0.7355	4.1109	0.86352	8.3018	4.5284	4.8818	2.2561	1.7475
ABCC2	0.3858	0	0.30577	0.63522	0	1.3612	5.7436	2.5431	0	2.4966	11.725	0	12.326	31.979
ABCC3	0.061932	0.94498	0	0.11852	24.151	9.228	0	0.48766	2.6728	0	1.1719	80.099	28.821	0
ABCC4	5.2386	2.8276	6.0308	7.6673	5.3093	0.80217	0.11065	26.772	7.9977	31.072	53.552	13.719	3.817	0.61605
ABCC5	16.359	29.958	9.7672	13.539	21.837	41.696	13.673	67.18	58.745	43.329	63.514	32.722	80.869	51.502
