"","log2_FC_1","-log10_pvalue_1","log2_FC_2","-log10_pvalue_2"
"0610010F05Rik",2.13989962247844,95.8265587470345,-2.13989962247844,95.8265587470345
"0610012G03Rik",2.15742079377216,100.874443627104,-2.15742079377216,100.874443627104
"1110004E09Rik",2.04826806449353,76.3638274891876,NA,NA
"1110008F13Rik",2.26392325502017,112.967887877679,-2.26392325502017,112.967887877679
"1110008P14Rik",3.50107207375858,131.744205427521,-3.50107207375858,131.744205427521
"1110032F04Rik",5.11469639573317,62.6493798160753,NA,NA
"1110051M20Rik",2.25572029308288,165.553762449472,-2.25572029308288,165.553762449472
"1_3_2",2.07886831659755,65.2630412803537,NA,NA
"1500009C09Rik",2.4118047356615,70.7982381445477,NA,NA
"1500009L16Rik",3.74118008274287,58.0685215580453,NA,NA
"1500011B03Rik",2.23568483270009,125.693573949578,-2.23568483270009,125.693573949578
"1500015A07Rik",2.75894072358962,48.9181264922252,NA,NA
"1700001L19Rik",4.62020388491844,113.194763837531,NA,NA
"1700020I14Rik",2.38118636020319,77.9873123272179,NA,NA
"1700025G04Rik",2.59107835205882,73.4463858615054,NA,NA
"1700037H04Rik",3.70941571659839,145.812101892773,NA,NA
"1700052N19Rik",2.06832331127215,62.2907301384196,NA,NA
"1810043G02Rik",3.41582209619499,103.204123216281,NA,NA
"1810055G02Rik",2.10022509228363,48.4069623739598,NA,NA
"2010107G23Rik",4.28604514478818,72.739141515104,NA,NA
"2010204K13Rik",5.03495373689479,77.9288242862636,NA,NA
"2010300C02Rik",5.60873216125813,226.494585343456,NA,NA
"2210016L21Rik",3.34640465492067,245.814605233714,-3.34640465492067,245.814605233714
"2210408F21Rik",3.89723156283174,103.931076136743,NA,NA
"2210408I21Rik",2.02836518477444,46.8919244804924,NA,NA
"2300009A05Rik",2.01545981932045,33.465689955166,NA,NA
"2310009B15Rik",2.36960223717653,38.0850545997115,NA,NA
"2310022A10Rik",2.93584477229195,49.3670921524898,NA,NA
"2310057M21Rik",2.3291787352512,32.5329167462196,NA,NA
"2310061I04Rik",2.52535892253921,74.1373841477647,NA,NA
"2410002F23Rik",2.28598823293939,95.7185303923499,NA,NA
"2410016O06Rik",3.28509180104048,46.0634874595648,NA,NA
"2410018M08Rik",2.58658992805062,149.747022179412,-2.58658992805062,149.747022179412
"2410066E13Rik",3.29168500692981,55.9914569858357,NA,NA
"2410131K14Rik",2.09774632680324,50.9927463262207,NA,NA
"2510002D24Rik",2.34260550479852,69.3734107140013,NA,NA
"2510003E04Rik",2.17930411470333,137.358301735983,-2.17930411470333,137.358301735983
"2610002J02Rik",2.36480125091271,47.3389935553827,NA,NA
"2610002M06Rik",3.20950608911449,98.4057413495937,NA,NA
"2610100L16Rik",2.26346288433593,33.8175398367763,NA,NA
"2610524H06Rik",2.0280272720559,55.4369192648748,NA,NA
"2700029M09Rik",2.61615557067291,114.735994359536,NA,NA
"2700089E24Rik",2.27057581852586,142.513534696559,-2.27057581852586,142.513534696559
"2810001G20Rik",2.55927488627611,42.5923460690136,NA,NA
"2810008D09Rik",2.63757044909697,93.6166046178673,NA,NA
"2810011L19Rik",5.65699338726515,54.445389766997,NA,NA
"2810021J22Rik",2.40284133746993,31.2973096680095,NA,NA
"2810468N07Rik",-2.38482836826358,90.4588362815067,2.38482836826358,90.4588362815067
"2900011O08Rik",4.19984451442197,311.651481631302,-4.19984451442197,311.651481631302
"2900026A02Rik",2.19355825157454,67.7690321129851,NA,NA
"2900055J20Rik",3.63213545468058,211.284060378149,NA,NA
"2900056M20Rik",2.86086673799682,103.266976260217,NA,NA
"2900079G21Rik",4.45716526906137,48.2659902817025,NA,NA
"2900092D14Rik",2.07143993292868,56.2014391203987,NA,NA
"2900097C17Rik",3.20101087520637,Inf,-3.20101087520637,Inf
"3110035E14Rik",5.52162833259129,252.192048600492,-5.52162833259129,252.192048600492
"3110039M20Rik",4.32425485661192,121.448291459743,NA,NA
"3110047P20Rik",2.74017989516261,66.9484408521403,NA,NA
"3_9",4.11132047780132,249.824480913272,NA,NA
"4_3",4.26248822593675,61.3588442517362,NA,NA
"4732471J01Rik",2.12396347134783,30.9752538828519,NA,NA
"4833424O15Rik",3.19461891056889,135.579584377804,NA,NA
"4_9",-2.65589467507605,127.386489040413,2.65589467507605,127.386489040413
"4930414L22Rik",3.63217018786804,74.7394425338341,NA,NA
"4930503E24Rik",3.32750650135484,41.5458349116823,NA,NA
"4931428F04Rik",2.60815202217493,36.4700797144577,NA,NA
"4933409K07Rik_loc3",3.48572079492305,123.018199216115,NA,NA
