index	cell_name	cell_cluster	umap1	umap2
1	1772058148_A01	1_oligodendrocytes	9.21343775642256	-8.06805360371951
1	1772058148_A03	1_oligodendrocytes	4.48921834313374	-4.50334712951142
1	1772058148_A04	1_oligodendrocytes	6.07586666260717	-5.34503481764679
1	1772058148_A06	1_oligodendrocytes	6.41250727003683	-6.89802940780804
1	1772058148_A09	1_oligodendrocytes	2.29357298839537	-3.79121754233062
1	1772058148_A10	1_oligodendrocytes	5.89987098078745	-1.13800817476026
1	1772058148_A11	1_oligodendrocytes	9.09877089641452	-7.99020216444221
1	1772058148_B01	1_oligodendrocytes	6.0087726800988	-6.22968764218383
1	1772058148_B06	1_oligodendrocytes	6.19600732976339	-7.10074839737127
1	1772058148_B08	1_oligodendrocytes	6.03459975322632	-5.22042599420644
1	1772058148_C02	1_oligodendrocytes	6.13173337999037	-1.24013524804417
1	1772058148_D07	1_oligodendrocytes	4.98391238345692	-5.24284240157351
1	1772058148_E07	1_oligodendrocytes	6.25548890567608	-6.28237533665864
1	1772058148_F02	1_oligodendrocytes	6.61881443151283	-5.71073269677704
1	1772058148_F07	1_oligodendrocytes	4.65211256624899	-5.20098007318561
1	1772058148_G01	1_oligodendrocytes	4.53635162504991	-4.83177174499711
1	1772058148_G08	1_oligodendrocytes	4.56029618824318	-4.538660149537
1	1772058148_G09	1_oligodendrocytes	4.71961536510099	-5.11068111405335
1	1772058148_G11	1_oligodendrocytes	8.8486168653515	-7.95350254345504
1	1772058148_G12	1_oligodendrocytes	9.50166114735553	-7.98645676041591
1	1772058171_A02	1_oligodendrocytes	6.78711194506517	-8.18558830093589
1	1772058171_A04	1_oligodendrocytes	5.42528631127765	-7.76830663642409
1	1772058171_A09	1_oligodendrocytes	5.40077179939258	-8.27891089698967
1	1772058171_A11	1_oligodendrocytes	1.42901848091785	-2.78972228628304
1	1772058171_B01	1_oligodendrocytes	3.35517500687438	-7.18488153083048
1	1772058171_B04	1_oligodendrocytes	5.56450251884765	-8.44733964129887
1	1772058171_B05	1_oligodendrocytes	6.27935540109199	-8.72327096517185
1	1772058171_B06	1_oligodendrocytes	6.48566538429518	-8.32373527858283
1	1772058171_B07	1_oligodendrocytes	5.47348387119342	-7.86391256698298
1	1772058171_B08	1_oligodendrocytes	5.80872221092002	-1.17608534152363
1	1772058171_B09	1_oligodendrocytes	4.34581294343416	-8.1055151689957
1	1772058171_C01	1_oligodendrocytes	9.56458752353436	-8.10678262297206
1	1772058171_C02	1_oligodendrocytes	2.76119623299896	-6.01647784652119
1	1772058171_C03	1_oligodendrocytes	7.03861058015483	-8.25100184523215
1	1772058171_C04	1_oligodendrocytes	6.18621633453845	-8.72184776557143
1	1772058171_C08	1_oligodendrocytes	6.622400925751	-7.47268627189986
1	1772058171_C09	1_oligodendrocytes	1.71043869509889	-3.0629886261222
1	1772058171_C10	1_oligodendrocytes	6.36612467747717	-8.5514055251224
1	1772058171_C12	1_oligodendrocytes	7.30844740729838	-8.21140637840007
1	1772058171_D01	1_oligodendrocytes	6.97621012830542	-8.33821050807494
1	1772058171_D02	1_oligodendrocytes	6.60537956878859	-7.9076248146698
1	1772058171_D03	1_oligodendrocytes	4.85289345378213	-7.11080296670896
1	1772058171_D04	1_oligodendrocytes	4.75392227856951	-7.8503197858818
1	1772058171_D06	1_oligodendrocytes	9.53942576887068	-8.2504868952637
1	1772058171_D08	1_oligodendrocytes	6.68123864421404	-8.6822146813863
1	1772058171_D10	1_oligodendrocytes	7.43438705549349	-6.75913353448653
1	1772058171_E02	1_oligodendrocytes	9.27648138549368	-8.0258883917456
1	1772058171_E05	1_oligodendrocytes	6.40741153546661	-8.77804733002767
1	1772058171_E06	1_oligodendrocytes	6.92998960478921	-8.44500234087087
1	1772058171_E07	1_oligodendrocytes	6.44132727104476	-8.8897682809385
1	1772058171_E10	1_oligodendrocytes	6.46974518303506	-7.34612492918424
1	1772058171_F03	1_oligodendrocytes	6.04683596942951	-8.32380348393342
1	1772058171_F05	1_oligodendrocytes	7.17553297797429	-8.33188842742833
1	1772058171_F06	1_oligodendrocytes	7.26822657195399	-8.33159942512301
1	1772058171_F08	1_oligodendrocytes	9.69606928008734	-8.08241944264206
1	1772058171_F09	1_oligodendrocytes	4.35872914652182	-7.74091033799683
1	1772058171_G01	1_oligodendrocytes	4.12802188381892	-7.44999553998256
1	1772058171_G03	1_oligodendrocytes	5.90228798172328	-8.42276234296734
1	1772058171_G08	1_oligodendrocytes	7.38524398011284	-8.18700909440824
1	1772058171_G10	1_oligodendrocytes	6.49276567536581	-8.3980886646809
